Number,Name,Rank,Story
1,SUKHDEV KHUIXAR,Lieutenant Colonel,"a Field Regiment volunteered to lead a group of the Medium The Regiment of Artillery. (Posthumous) Regiment to the gun position to recover the guns and re- organize the regiment. Unmindful of the heavy and accurate On the 8th December, 1971, when the enemy started enemy shelling and air raids, he pressed forward and reached shelling the sun position of 183 Light Rer, ment. Lieutenant the Gun Area. In this process, he was hit by an enemy Colonel Sukhdev Khullar rushed to the gui position to ins- rocket as a result of which he died. pire his men and ensure continuous fire support to our troops, While he was in the gun position, an enemy shell hit uu In this action Lieutenant Colonel Anil Baran Guha dis- ammunition vehicle resulting in an explosion in which a played courage, leadership and devotion to duty. Junior Commissioned Officer was wounded. At great risk to his life, and undeterred by enemy shelling, he rushed to"
5,PATWITTAR SINGH TAKHAR,Lieutenant Colonel,"evacute the Junior Commissioned Officer. While doing JO, (IC-3830). The Armoured Corps. another shell exploded near him as a result of which he died. During the operations against Pakistan in December. 1971, In this action, Lieutenant Colonel Sukhdev Khullar dis- Lieutenant Colonel Pawittar Singh Takhar was commanding played courage, comradeship and devotion to duty. an Armoured Regiment in the Eastern Sector. On the 7th"
2,ASHOK MANGALIK,Lieutenant Colonel,"The Regiment of Artillery. as to split the enemy forces. This action was executed with great speed and took the enemy by surprise and forced him On the 5th/6th December, 1971, Lieutenant Colonel Ashok to abandon the position. The enemy counter-attacked this Mangalik who was commanding a Field Regiment was given position on the night of the 7th/8th December 1971 with the task of providing effective fire support during an attack armour and infantry. Under the inspiring leadership of Lt. for the elimination of the Dera Baba Nanak Enclave. With Col, Takhar, the attack was repulsed and heavy casualties complete disregard to his safety, he positioned himself at .i were inflicted on the enemy. On the 10th December, 1971 place which was subjected to intense artillery, mortar and Lieutenant Colonel Pawittar Singh Takhar successfully ma- small arms fire. Later, he moveJ around constantly to keep noeuvred the regiment in a wide outflanking move, thus in touch with the Brigade Commander for modification of fire entrapping a battalion group of the enemy occupyinR well plans to suit the changing tactical situations. coordinated defences and captured its complete transport, supporting artillery and tanks, besides large quantities of Throughout the attack, Lieutenant Colonel Ashok Manga- arms', ammunition and explosives. lik displayed courage, leadership and devotion to duty, Throughout, Lieutenant Colonel Pawittar Singh Takhar"
3,ANIL KUMAR STNHA,Lieutenant Colonel,The Regiment of Artillery.
6,PAHLAD TORO,Major,"During the operations against Pakistan in December, 197J, Lieutenant Colonel Anil Kumar Sinha was commandina a Major Pahlad Toro was the affiliated battery commander Mountain Regiment in the Eastern Sector. He ensured with an infantry battalion operating in the Shakargarh sector. effective artillery support to the troops throughout the opera- On the 15th December 1971, the battalion was given the lions. With utter disregard to his safety, he moved from task of establishing a bridge-head across the Basantar River. une location to another to ensure coordinated artillery siip- The objectives were captured but th? enemy reacted violently 11—481 GT/73 284 THE GAZETTE OF INDIA MARCH 9, 1974 (PHALGUNA 18, 1895) [PART I~SEC. 1 and on tho 16th and 17th December"
12,ASHOK RAJ KOCKHAR,Major,"vided effective artillery fire, which, along with the infantry mor- The Brigade of Guards. tars foiled all enemy attempts to re-capture the position. On the night of 5th/6th December, 1971 Major Ashok Raj In this action. Major Puhlad Toro displayed courage, initia- Kochhar who was commanding a company of a Battalion of tive and devotion to duty. the Brigade of Guards was assigned the task of attacking a well defended enemy post.in the Western Sector. During the attack,"
7,VIRENDRA KUMAR BHATNAGAR,Major,"(IC-8251), down the momentum of the assault. Major Kochhar changed 63rd Cavalry. the direction of the company's assault, completely surprising the enemy who fled from the position in confusion leaving Major Virendra Kumar Bhatnagar was commanding a behind large quantities of arms, ammunition and equipment. Squadron of the 63rd Cavalry during the advance from Daud- pur to Bhaduria in the Eastern Sector. On the 8th December In this action, Major Ashok Raj Kochhar displayed courage, 1971, while leading the advance, the squadron encountered stiff leadership find devotion to duty. resistance from an enemy infantry company supported by tanks and artillery at Bajitpur and Bhaduria. Major Bhat-"
13,SHF,Major,"nagar handled his squadron with competence and skill and on The Punjab Regiment. each occasion moved his troops boldly to encircle the enemy and forced him to withdraw. Tn the encounters, the enemy On the night of the 10th December 1971, Major Sher Singh suffered heavy casualties. Giewal was commanding a company of ft Battalion of the Punjab Regiment which was assigned the task of attacking an Throughout, Major Virendra Kumar Bhatnagar displayed enemy position in the Poonch Sector. Unmindful of the effec- courage, leadership and devotion to duty. tive enemy fire and inspitc of his own injury sustained during the action, he led his men with great determination and captur-"
8,RAM LAL VERMA,Major,"The Rajputana Rifles. In this action, Major Shor Singh Grewal displayed courage, When the defences occupied by a Battalion of the Rajputana determination, leadership and devotion to duty. Rifles in the Telikhali area in the Eastern Sector were subjected to repeated attacks by the enemy forces, Major Ram Lal"
14,NARAIN SINGH KOAK,Major,"Verma, commanding a Company, showed exemplary courage The Sikh Regiment. and leadership in moving about in the open from trench to trench to inspire his men to hold their ground. He also direct- On the 3rd December 1971, the enemy launched a company ed artillery fire with skill and accuracy and repulsed the enemy attack on a border post in the Amritsar Sector which was manned by an infantry platoon. Due to the shelling, the attacks. communications between the platoon and the company head- In this action, Major Ram Lal Vcrma displayed courage and quarters were disrupted. Major Narain Singh Koak promptly leadership. led a patrol of 10 men from the company headquarters to establish contact with the platoon position under intense artil-"
9,GURCHARAN SINGH PREET,Major,"The Sikh Light Infantry. the wounded and the equipment captured from the enemy. Major Gurcharan Singh Preet, who was commanding a mixed In this action, Major Narain Singh Koak displayed courage, force, was assigned the kisk of exerting pressure on the enemy determination and devotion to duty. defences at 'Durgapur' in the Eastern Sector. DesDite intense enemy fire, he inspired his men to move forward and Bucceeded"
15,JAGTAR SINGH VIRK,Major,"in encircling the enemy. The enemy launched a determined The Regiment of Artillery. counterattack, but Major Preet quickly readjusted his position On the night of the 4th December 1971, Major Jagtar Singh and by his close presence succeeded in repulsing the attack. Virk was the Forward Observation Officer with an Infantry The enemy, completely unnerved, gave up the position and company which captured Jhandi—Mali in the Western Sector. withdrew in haste. As the company was settling down on the objective, the enemy In this action. Major Gurcharan Singh Preet displayed counter-attacked the position in strength, supported by heavy courage, leadership and devotion to duty. and offective artillery fire. With complete disregard for his safety, Major Virk moved in the open and brought down accu-"
10,KALLIANPUR KRISHANII RAO,Major,"(Posthumous) pulsing the attack. The Brigade of Guards. In this action Major Jagtar Singh Virk displayed courage, Maior Kallianour Krishanji Rao was a comnany commander determination and devotion to duty. in a Battalion of The Brigade of Guards which was deploved in the Eastern Sector. While attacking the enemy he secured lfi. Major SHREE KUMAR NARAYAN (MR 1498), a foot-hold on the objective and led his men in a bayonet The Army Medical Corps. charge on the enemv. Fighting from bunker to bunker, with During the operations against Pakistan in December 1971 in utter disregard to his safety and unmindful of his own serious the Rajasthan Sector, Major Shree Kumar Narayan displaced wounds, be motivated and inspired his trooDS and the objective exceptional devotion to duty and professional skill. Showing was captured. Maior Rao liter succumbed to his injuries. boundless energy, great endurance and selfless service, he In this action. Major Kalliannur Krishanji Rao displayed worked long hours resuscitating the wounded and undertaking courage, leadership and devotion to duty. life and limb saving surgery of a large number of serious casualties even under heavy enemy shelling an air attacks."
17,STJRESH YESHWANT REGE,Major,"of Garhwal Rifles whi:h wns deployed in the Eastern Sector. The Regiment of Artillery. He led his comrrinv's attack to capture an enemy position. On the 6th Decembr, 1971, while flylnp ahead of own Realisine that any rntve forward frontallv was danserous. advancing ground columns in the Shakarearh Sector, Major Maior Raniit Singh moved his company to the flank and charg- Suresh Yeshwant Regc spotted the advancing enemy tanks and ed the enemy position. With utteir dfcreKard to his safety, he engaged them by directing own artillery flre as a result of led his company fighting from bunker to bunker. He personal- PART I—SEC. 1] THE GAZETTE OF INDIA MARCH 9, 1974 (PHALGUNA 18, 1895) 285 which two enemy tanks were hit. Though his own aircraft was Major Kohli, with complete disregard to his safety, enthused damaged, ho continued to direct our artillery fire till the enemy and encouraged his men, to press home the attack and cap- withdrew. Later, on the 16th December 1971, while on an tured the objective inflicting heavy casualties on the enemy. airborne mission, he was intercepted by enemy aircraft Even though his aircraft was damaged, he succeeded In evading the In this action, Major Om Prakesh Kohli displayed courage, enemy aircraft and stayed on till the mission was completed. determination and leadership. In this action, Major Suresh Yeshwant Regc displayed"
24,KAILASH NATH,Major,"courage, professional skill and devotion to duty. The Regiment of Artillery."
18,SUSHIL KUMAR SEKHRI,Major,"The Regiment of Artillery. position held by a Battalion of the Punjab Regiment, Major Kailash Nath who was the Battery Commander affiliated with During the operations against Pakistan in December, 1971, this battalion manned the Observation Post and directing Major Sushil Kumar Sekhri was incharge of the Fire Direction accurate and effective fire, repulsed the enemy attack. Despite Centre of an Independent Artillery Brigade. During the first heavy shelling and small arms fire, he moved from one de- four days, h; continuously manned the centre for sixty hours fended locality to another, directing the fire and Inflicting and controlled the fire of the guns in a most effective manner. heavy casualties on the enemy. It was due to his efforts that the capture and subsequent foiling of the counterattacks on the Dcra Baba Nanak position was In this action, Major Kailash Nath displayed courage, lea- made possible. dership and devotion to duty. Throughout, Major Sushil Kumar Sekhri displayed courage,"
25,SANTOSH CHAUHAN,Major,determination and devotiou to duty. The Kumaon Regiment.
19,CODANDA KARIAPPA KARUMBAYA O,Major,"(IC-11019), commanding a company of a Battalion of the Kumaon Regi- The Maratha Light Infantry. ment which had captured certain enemy positions (n the Shakargarh Sector. The enemy counter-attacked this position On the 4th December 1971, Major Codanda Kariappa in strength supported by intense and accurate artillery fire. Karumbaya Second-in-Command of a Battalion of the Major Sanfosh Chauhan, undeterred by the heavy volume of Maratha Light Infantry was with a company which attacked fire, moved from trench to trench encouraging his men to an enemy position in the Eastern Sector. As the attack pro- remain steadfast and beat back the attack. gressed, tho enemy brought down heavy and intense machine gun fire. Major Karumbaya, with complete disregard to his In this action, Major Santosh Chauhan displayed courage, safety, rushed ahead encouraging and exhorting his men to leadership and devotion to duty. capture the objective and in the process inflicted heavy casual-"
26,SURENDRA KUMAR BHARDWAJ,Major,"tics on the enemy. (1C-7364), fn this action, Major Codanda Kariappa Karumbaya dis- The Army Ardnance Corps. played courage, leadership and devotion to duty. When one of the wagons of a military special train carrying"
20,JANAK RAJ RAJPUT,Major,"The Rajputana Rifles, tractor loaded in the wagon with gun ammunition was com- pletely burnt and the ammunition lay scattered all over the On lhe 101b December 1971, Major Janak Raj Rajput was track in a highly sensitive state. Removal of the live ammuni- commanding a company of a Battalion of the Rajputana Rifles tion from the track and its vicinity was imperative for the which was assigned the task of a capturing an enemy position resumption of traffic. At great personal risk, Major Surendra in th; Rajasthan Sector. Th>; company attack was held up due Kumar Bhardwaj removed all the live rounds, fuzes and other to heavy enemy machine gun and mortar fire. Undeterred, components. Major Janak Raj Rajput rallying his men charged the objective and destroyed the enemy machine gun. His action was a In this action, Major Smendru Kumar Bhardwaj Rhowed source of inspiration to his command and enabled them to cap- courage, determination and devotion to duty. ture the objective."
27,TTRATH SINGH,Major,"In this action, Major Janak Raj Rajput displayed courage, The Sikh Light Infantry. leadership and devotion to duty."
21,NARESH SHARMA,Major,"The Kumaon Regiment. was commanding a company of a Battalion of the Sikh Light Infantry which captured Dussi Bund Junction in the Western On the 8th December, 1971, Major Naresh Sharma was Sector. The enemy launched two counter attacks but these commanding a company of a Battalion of the Kumaon Rcgi' were beaten back under the inspiring leadership of Major ment during the attack on the enemy defences in an area in the Tirath Singh. The third counter attack launched by the enemy Eastern Sector. Despite strong enemy resistance and seriously in strength was also repulsed but in the process Major Tirath wounded, he exhorted and encouraged his men to press forward Singh was mortally wounded and died on the spot. and capture the objective. Throughout, Major Tirath Singh displayed courage, leader- In this action, Major Naresh Sharma displayed courage, ship and devotion to duty. leadership and devotion to duty."
22,SUBHASH CHANDRR SHARMA,Major,"The Rujputana Rifles. On the 9th December 1971, Major Sushil Kumar Sikka was When the enemy attacked one of our Border Out Posts in the assigned the rusk of establishing the depth and composition of Eastern Sector and the Officer Commanding was wounded, the enemy defensive minefield in Lohara-Mehlwan-Laisar Major Subhash Chander Sharma rose to the occasion and Kalan area in the Western Sector. To achieve this task, he led inspired his men to fight back and repulse the enemy attack. two reconnaissance patrols on the nights of 9th and 10th December"
23,OM PRAKASH KOHL,Major,"The Brigade of the Guards. determination and devotion to duty. During the operations against Pakistan in December, 1971,"
29,RABINDER SINGH DEOL,Captain,"Major Om Prakash Kohli who was commanding a company of 17th Horse. a Battalion of the Brigade of the Guards, was ordered to cap- On the night of the 15th December, 1971, Capt. Rabinder ture an enemy post in the Eastern Sector. Attacking on a narrow frontage, over a railway line, the company was held Singh Deol was leading the 17th Horse's Column which was up by heavy and effective machine gun and recoilless gun fire. crossing the Basantar River from the bridgehead established by 286 THE GAZETTE OF INDIA MARCH 9, 1974 (PHALGUNA 18, 1895) [PART I—SEC. 1 the infantry. Undeterred by heavy enemy shelling, he forced Annavarapu Laxminarashimha Sharma worked untiringly at- his way through the minefield over-running the cnomy strong tending to the casualties under adverse conditions. On learn- point at Saraj Chak. Despite the pitch dark night, he brought ing that there were two serious casualties in the forward bis squadron to the bridgehead. In the tank battle that follow- companies who could not be evacuated due to intense shel- ed on the morning of the 16th December 1971, Captain Deql ling by the enemy he, showing utter disregard for his own repulsed repeated counter-attacks. When his own tank was hit salety, moved forward with his medical haversack and ren- and started burning, he with complete disregard to his safety, dered the much needed medical aid to the casualties. and ill the face of enemy fire, pulled out his driver from the burning tank and brought him to safety- Throughout, Captain Annavarapu Laxminarashimha Sharma displayed courage and devotion to duty, In this action. Captain Rabinder Singh Deol displayed courage leadership and devotion to duty."
30,KAILASH CHANDRA SHARMA,Captain,"KAR (IC-19131) (IC-22304), Artillery Artillery. Captain Kaitash Chandra Sharma was the Ground Liaison Captain Madan Mohan Shamrao Gadagkar was the forward Officer at the Air Force Station at laisalmer. In addition to observation officer with a company of a Battalion of the his own duties, he carried out the duties of Air Force Intelli- Grenadiers during their attack on r'Chakra"" in ihe Western gence Officer and Air Photo Interpreter most efficiently. He Sector. He brought accurate and effective artillery fire on took great pains to brief the debrief the pilots. He established the objective during the forming up and assault across the a good rapport with the pilots and helped them to reduce their minefield enabling the assaulting troops to reach the ob- reaction time in visualisation of the ground situations at all jective with minimum casualties. During the bitter fighting times. on the objective lasting over three hours, he was always with the company commander and engaged a number of targets Throughout, Captain Kaihu>h Chandra Sharma displayed thereby ensuring the success of the attack. When ithe professional skill and devotion to duty. enemy were preparing for a counter attack, he, with com- plete disregard for his personal safety, moved in the open"
31,BABU KHAN,Captain,"The Grenadiers. down accurate artillery fire and inflicted heavy casualties on the enemy and forced him to disperse. Captain Babu Khan was detailed to reconnoitre Lhc enemy defensive positions at Relnor in the Rajasthan Sector. He In this action, Captain Madan Mohan Shamrao Gadagkar contacted the enemy forward platoon just short of Relnor, displayed courage, determination and devotion to duty. which withdrew after a brief encounter. On advancing fur- ther, the enemy brought down heavy mortar and machine gun fire, forcing his platoon to take position on a sttnd dune."
36,GIRJESH PRATAP SINGH,Captain,"Shortly thereafter, the enemy attacked this platoon supported The corps of Signals by medium artillery. He inspired his troops and repulsed the attack inflicting heavy casualties. He then established a On the 16th December, 1971, Captain Girjesh Pratap firm base and passed back information which was of im- Singh was assigned the task of laying a telephone line over mence value in the subsequent attack and capture of Relnor. ;i distance of 25 kilometre upto Ban in the Western Sector. The line was laid along an operational track and was sub- In this action, Captain Babu Khan displayed courage, leader- jected to frequent air raids and continuous shelling- The ship and devotion to duty. line was therefore frequently cut at many places. Undeterred 32, Captain PRAVEEN KISHORE JOHRI (IC-23382) by the bombing and shelling, he encouraged and inspired Posthumous ins men who kept on working round the clock tor thirty-six The 5th Gorkha Rifles. hours ensuring that the lines of communication were through all the time. Captain Pravecn Kishore Johri was commanding a com- pany of a Batalion of the 5th Gorkha Rules during the attack on the enemy defences at 'Atgram' in the Eastern In this action, Captain Girjesh Pratap Singh displayed Sector, The assault was held up due to intense artillery and courage, determination, leadership and devotion to duty. small arms fire. Though hit in the stomach by a machine gun burst, he with complete disregard for his own safety and unmindful of his wounds, led the attack and encouraged"
37,VISHNU LAXMAN WADODKAR,Captain,"his men to follow him. He personally charged and destroy- 22128) Artillery ed one enemy bunker, killing its three occupants. After capturing the objective, he succumbed to his injuries. On the 8th December 1971, Captain Vishnu Laxmai Wadodkar was the Forward observation officer with a company In this action Captain Praveen Kishore lohri displayed cour- of a Battalion of the Jammu and Kashmir Rifles which attac- age, determiantion and leadership. ked an area in the Western Sector. The attack was virtually halted due to intense and accurate enemy fire. Captain"
33,SAPRU MATHEWS,Captain,"Artillery his own safety neutralised enemy positions effectively. Later, On the 16th December 1971, Captain Supru Mathews, along he was instrumental in ""breaking up a counter attack by the with another officer was returning from an air borne mis- enemy. sion in the Western Sector, when his aircraft was fired upon by enemy machine guns, seriously wounding the other officer In this action. Captain Vishnu Laxman Wadodkar displayed who was piloting the aircraft and puncturing the petrol tank. courage and devotion to duty, Captain Mathews, showing great presence of mind, took over the controls and skillfully force-landed the aircraft in nearby river bed. Despite heavy shelling and small arms"
38,YADAV MUKHERJEE,Captain,"fire, he removed the injured officer to a safe place, about The Army Ordnance Corps a hundred yards distance and then rushed fo rhelp for his comrade. On the 5th December 1971, there was a fire due to enem> bombing at the Ammunition Point Akhnoor. The fire thre- In this action. Captain Sapru Mathews displayed courage, atened other areas where large stocks of ammunition were held professional skill and devotion to duty. Ciptain Yadav Muknerjee undaunted by the risk to his own life, moved around the area fighting the fire for seven hours"
34,ANNAVARAPU LAXMTNARASHIMHA,Captain,"before it could be brought tinder control. By his tireless SHARMA (MR 2fim efforts, Captain Mukherjee prevented a major disaster. The Army Medical Corps. When the enemy launched an attack on one of our Border In this action Captain Yadav Mukherjee displayed courage po:is in the Fnslern Sedor inflicting heavy casualties Captain leadership and devotion to duty. PART I—SEC. 1] THE GAZETTE OF INDIA MARCH 9, 1974 (PHALGUNA"
9,RAMESH CHANDRA DABRAL,Captain,"Artillery directing fire on the assaulting enemy. It was largely uu- to his etforts tnat the attacks were repulsed. On the Hth December 1911, Captain Ramesh Chandra Dabral was assigned ihe task: of providing air detent to our Jn this action. Captain Lalgudi Narayanaswamy Sundra tanks which had bogged down in Kan Nadi in the Shakargarh Rajan displayed courage, determination and devotion to duty. Sector. Moving his troops at night and over difficult terrain."
44,SHRIKANT NAGESH DHARMADHTKAR,Captain,he deployed his guns in the area effectively and engaged the UA-41367). enemy aircraft when they attacked our tanks in the morning of the 12th December
40,MALK,Captain,"aircraft^. Captain Dhannadhikan controlled and directed Artillery the hre of his troops with competence and skill and shot On the 4th December 197 J, Captain Malkiat Singh Dullat down two enemy aircraft. was aligned the task of engaging enemy funks likely to In this action, Captain Shrikant Nagesh Dharmadhikari interfere with our attack on 'Darsana' in the Eastern Sector. displayed courage, professional skill and leadership. While flying low due to bad visibility, his aircraft was liit by Heavy Machine Gun fire. Undeterred and unmindful of the 45 Captain PRAMOD KUMAR CHOPRA UC-15898) damage to his aircraft, ho located the enemy tanks and Artillery. engaged them effectively and thus contributed to a great extent in the completion of the mission. On the 13th December 1971, Captain Piamod Kumar Chopua was the Forward Observation oilker with a company In this action Captain Malkiat Singh Dullat displayed of a battalion of the Sikh Regiment during the attack on courage, professional skill and devotion to duty. Mayachor in the Western Sector, The attack was held up due to effective and intense enemy lire. Unmindful of his"
41,TEK CHAND BHARDWAJ,Captain,"own safety, Captain Pramod Kumar Chopra moved for- The Parachute Regiment. ward and occupying a vantage point which was under heavy On the night of the 11th December 1971, uftcr an air- shelling, directed own artillery tire accurately to neutralise borne assault by a Battalion of the Parachute Regiment on the enemy weapons thereby enabling the company's attack to Poongli Bridgie at Tangail in the Eastern Sector, Captain go through. Tek Lhand Bhardwaj who was leading a special mission was In this action, Captain Pramod Kumar Chopra displayed assigned the task of securing an area 10 Kilometres to tne courage, leadership and devotion to duty. North and to give advance information of enemy counter attacks. The area to be secured was held by an enemy pla-"
46,SHEKHAR DUTT,Captain,"toon supported by Medium Machine Gu:ia. His own force Artillery was barely a section of infantry and engineers supported by a detachment each of Medium Machine Gun aiid Recoillcss On the 15th December 1971, Captain Shekhar DulL was Gun. Captain Tek Chand Bhardwaj deployed his force skil- the Forward Observation Officer with an armoured squad- fully as a result of which the enemy abandoned the position ron during the attack at Nayachor in the Western Sector. which was occupied by Captain Tek Chand Bhardwaj. The As the attack progressed, his own tank was hit and im- enemy, duly reinforced attacked this position with his com- mobilized. Captain Duti, undeterred by the heavy shelling panies. Realising that holding out in the face of the enemy got out of the tank and moved to a vantage point from superiority was difficult, he withdrew his small force and laid where he directed accurate and effective artillery fire. an embush. The enemy following up fell into the trap and suffered heavy casualties. Thereafter, the force withdrew In this action, Captain Shekhar Dutt displayed courage, and rejoined tho Battalion. On the night of the 15th/16th leadership and devotion to duty. December 1971, during the advance to Dacca, Captain Bhar- dwaj was ordered to lead a combat team and establish con-"
47,BHAJAN SINGH KATWAL,Captain,"tact with th-e enemy, While crossing a bridge- the party cams Artillery. (Posthumous) , under intense and accurate small arms fire. He engaged the On the 17th December 1971, Captain Bhajan Singh enemy from a different direction and inflicted heavy casual- Katwal was the Observation Post Officer with a Battalion ties on him. ol the Madras Regiment occupying a defensive position at Hingoro Tar in th© Western Sector. At dawn, the enemy In these actions, Captain Tek Chand Bhardwaj displayed, attacked this position in strength supported by artillery but courage, determination and leadership, the attack was repulsed. The enemy assaulted again in larger strength, overwhelming tho forward defended locali-"
42,KUPPUSWAMY CHANDRASEKHAR,Captain,"ties. Unable to direct our artillery fire on the enemy due (TC-23427) to proximity of own troops. Captain Bhajan Singh Katwal The Madras Regiment with a handful of men, led an assault on the attacking enemy. In the process, he was hit on the forehead as a On the 5th December 1971, Captain Kuppuswamy Chandra- result of which he died. sckhar was ordered to capture and hold Kalsian Khurd in ihe Western Sector. Despite stiff enemy opposition, he cap- In this action, Captain Bhajan Singh Katwal displayed tured the objective. The enemy launched several counter- courage and leadership. attacks but tinder the inspiring leadership of Captain Kuppu- swamy Chandraseldiar, these were repulsed."
48,BIR NATH,Captain,"The Sikh Light infantry In this action, Captain Kuppuswamy Chandrasekhar dis- played courage, leadership and devotion to duty. On the 11th December 1971, four enemy sabre aircraft attacked Parche Ji Veri Railway Station in the Rajasthan"
